DeliveryTime,Address,DeliveryID
1203,B,8933322
1206,I,1927256
1207,K,8287887
1209,N,6926035
1210,U,7788144
1211,P,3782059
1213,E,4259586
1214,E,5639366
1215,B,8154271
1219,B,5921840
1219,W,6687969
1221,Z,3042114
1223,P,4349232
1223,Q,2926871
1224,S,4156470
1224,I,2279696
1225,F,8517699
1225,B,2302982
1226,V,1340297
1227,Y,8629167
1228,A,8855974
1229,Y,3044754
1229,D,4237225
1230,G,9439013
1231,M,2387401
1231,K,2297634
1231,R,9088335
1231,W,9676321
1231,P,6777788
1232,E,6222045
1234,T,6290487
1234,X,7058205
1234,T,3744579
1235,H,3131248
1236,S,2524177
1238,C,4189539
1238,G,3238022
1239,A,7787208
1243,F,6634313
1244,P,2938107
1246,V,5759135
1247,L,9834625
1247,I,6853246
1247,C,3203388
1247,Q,9052364
1248,P,9085180
1248,Z,1933529
1248,H,7818890
1248,K,9708389
1249,H,8852214
1249,Z,6912180
1250,B,2207210
1252,T,8309452
1252,E,5729497
1252,I,1416669
1253,B,6020974
1253,A,3902922
1254,E,7883515
1254,W,3535073
1256,T,4843742
1257,L,8294735
1257,P,5720547
1258,O,9808670
1258,Y,5823254
1259,S,5376216
1300,V,4820541
1300,C,8321656
1300,K,5119265
1301,V,6832915
1301,S,2592503
1302,D,2981047
1303,T,4357301
1306,C,7802431
1307,R,1287509
1308,I,3070141
1308,K,8124295
1310,S,8025941
1310,H,1705682
1311,Q,8517552
1312,T,9946756
1312,M,9315340
1313,J,4961361
1314,L,4744694
1314,Z,6230400
1314,V,2831013
1315,B,8664015
1315,E,7842468
1315,J,1898009
1316,F,3528201
1317,O,3602204
1318,N,8786068
1318,P,4348747
1319,Y,9670781
1319,D,7047777
1320,Y,3249276
1320,Y,7880130
1320,J,3257364
1321,C,5870938
1322,D,2039184
1322,D,6534446
1322,K,1736390
1322,K,8802077
1323,H,7167682
1324,D,6000720
1324,F,7295162
1324,F,4798384
1324,F,7940549
1325,C,4338227
1328,E,1664126
1329,Y,4957043
1329,W,6573817
1330,Q,8549102
1330,B,1038332
1331,J,9233924
1331,S,3582991
1331,J,7169658
1332,W,2185590
1333,C,2833514
1333,U,1625465
1335,W,6937987
1336,I,4559366
1337,Q,4255184
1338,M,6430392
1339,U,5938740
1341,A,9452721
1341,Y,5998307
1341,S,5242404
1342,K,5276161
1344,L,8963632
1345,E,1596547
1346,B,9925777
1347,A,9458114
1348,A,7679408
1348,I,2173414
1348,E,1072457
1349,A,2840193
1350,M,4620571
1351,R,4973583
1352,V,1560796
1353,J,9160213
1353,E,2965427
1354,S,7514373
1355,O,2048916
1355,G,2556961
1356,H,1615708
1356,V,6905395
1357,P,5827961
1357,X,3326409
1358,Z,3872127
1359,B,2389605
1359,O,5035504
1359,H,5028268
1400,Y,1418630
1400,T,7746777
1400,M,2595529
1400,D,7150407
1401,K,9234477
1401,W,4108026
1404,C,7894231
1404,F,3336367
1404,Z,8667394
1404,T,2364394
1405,E,4588363
1406,T,2289339
1406,G,2508621
1407,U,1403553
1408,I,6624928
1408,K,9449540
1409,U,8214929
1409,L,5317200
1411,R,2024515
1414,I,2486473
1414,D,9684790
1414,E,5813921
1418,D,1957376
1421,I,9840623
1421,N,8924557
1421,M,6960732
1421,Y,3355151
1423,P,3195019
1424,U,6607588
1425,B,2043185
1425,M,3494077
1425,Q,8705889
1425,D,8836046
1426,G,3451815
1426,H,7309764
1429,B,3061873
1431,R,3194203
1435,N,1224080
1436,R,9841326
1436,C,2584774
1439,S,3991512
1439,E,6745307
1440,U,5431134
1441,G,8100330
1442,E,4321598
1442,L,3021895
1443,F,7858795
1443,Z,7871120
1443,E,6720164
1445,X,3971522
1445,Y,3546503
1445,H,4912820
1446,D,9383442
1447,K,2890903
1448,X,9823401
1449,C,3477985
1451,Y,3511437
1451,H,3573581
1452,W,6058630
1452,C,9757962
1452,Z,7431440
1454,G,6979881
1454,S,7096962
1456,Q,1729383
1457,W,8833513
1457,S,8294400
1458,D,3474188
1459,N,9027341
1459,B,8064580
1500,J,9456818
1500,D,7177499
1501,H,4831851
1502,D,4366083
1503,E,5710928
1503,I,9744407
1505,P,5739814
1505,H,4749204
1506,M,4587031
1506,J,6488423
1507,X,8757580
1509,X,4846576
1510,F,9636088
1510,H,9024922
1511,O,3370238
1511,T,3564190
1513,L,5024916
1513,J,3451260
1513,H,7026857
1514,F,1582467
1514,C,9075383
1515,X,3180247
1515,Y,9303803
1515,Q,4912744
1516,F,9310934
1516,R,2548168
1518,N,5399493
1519,L,2040116
1520,L,7021548
1520,Q,6049632
1521,C,9253608
1521,J,1480669
1522,D,5664707
1524,F,1739768
1524,H,9464786
1525,P,7436399
1525,E,1023741
1526,D,6981178
1527,H,9420573
1527,S,9358263
1527,P,2943280
1530,T,4844829
1530,W,3903136
1531,P,3162034
1532,A,6446481
1534,Y,5611917
1534,G,7061346
1536,Y,5741992
1537,N,7741996
1537,S,2962119
1540,D,4063809
1540,J,6995424
1540,X,9824433
1541,K,2391441
1544,Z,9106729
1544,Z,6782752
1545,T,6794741
1545,B,1580047
1545,H,2975588
1546,H,5432388
1546,T,2647440
1547,H,2870435
1548,Z,1631299
1549,S,2738514
1549,H,6681322
1550,K,6790390
1550,S,3679025
1551,C,7358016
1552,L,2606625
1553,N,7734419
1553,E,5385112
1556,G,7903994
1559,E,8903471
1559,D,7873950
1601,T,8404635
1603,J,6219138
1603,G,3420476
1605,F,7007653
1605,Q,8127399
1605,X,2020479
1606,S,1667885
1607,I,9665326
1608,C,2926266
1609,C,1540359
1609,N,5420208
1610,X,4738201
1610,F,1282776
1610,P,6296832
1610,L,4668907
1612,A,3919585
1613,E,9314855
1613,X,2164149
1614,N,8787046
1615,L,8017550
1616,Y,9018002
1617,V,8193401
1617,N,5918664
1617,B,6277528
1619,F,5918302
1621,X,9530142
1621,W,2399054
1622,Y,7502961
1622,B,4589391
1623,L,8653139
1623,O,7035209
1625,I,5554019
1628,Y,3048951
1630,U,9400551
1630,D,1518182
1631,F,3882588
1631,C,4612569
1631,E,6903142
1631,S,3747799
1632,H,4716483
1633,R,3423333
1633,A,1106788
1635,H,5803599
1636,N,1774790
1636,M,7990606
1637,R,3335419
1638,X,6749880
1639,N,7897504
1639,B,4221224
1641,V,7391876
1642,B,7558286
1645,B,4437350
1646,A,4081131
1647,A,5595184
1647,X,7471207
1647,H,9407969
1648,C,7321945
1648,L,2279695
1650,E,3016931
1651,Z,2877485
1652,W,4921097
1655,O,1409444
1656,V,4116107
1656,N,7410386
1658,K,7165906
1658,C,9691881
1659,T,8323005
1659,Q,1608748
1700,Q,5372770
1700,Y,3684754
1700,X,5271761
1700,Y,1515606
1702,T,9523241
1704,Z,4010601
1705,I,9721540
1705,D,3187419
1706,U,5242051
1707,C,5485852
1707,X,2483897
1708,Y,9363265
1709,W,5704982
1710,A,8392275
1711,Z,4982317
1711,D,8210045
1712,D,7896760
1712,P,1693019
1713,R,5180141
1713,Y,6229949
1713,F,1157062
1713,H,3577260
1715,X,9728421
1715,P,7491816
1715,H,9543056
1719,P,1326996
1719,U,8500598
1720,Q,9306356
1721,T,3071917
1723,L,5724524
1725,K,6547291
1725,M,3875420
1726,R,1507416
1726,Z,4129332
1730,W,9027150
1730,V,6574026
1731,N,2993008
1731,X,1046808
1732,B,4995190
1733,V,6376171
1734,Q,2572252
1734,V,5342998
1734,P,6131356
1736,J,6419025
1738,H,6180182
1739,O,2378121
1740,S,2380782
1740,S,6232295
1740,S,2186030
1741,T,5040101
1742,D,8934102
1743,F,7295908
1743,T,1456365
1744,M,6928041
1745,Y,7518418
1745,F,9890837
1747,A,3112261
1747,B,4050549
1748,S,3023165
1749,F,2098437
1749,U,8727105
1749,W,3890435
1750,B,6359320
1750,F,1297037
1752,E,1068161
1752,T,3466575
1752,T,9348996
1754,U,9080157
1754,K,6759833
1755,Z,5240280
1757,E,4826909
1759,I,7545263
1759,V,5487095
1801,Q,2025637
1801,S,2544509
1802,O,4943400
1803,A,7077252
1803,I,9113315
1803,K,1047389
1804,I,4357439
1805,W,7023819
1805,K,4501706
1805,K,8275300
1805,G,9659270
1807,U,5270056
1809,U,2464734
1811,K,3792056
1811,D,5836174
1811,N,6579293
1814,W,7124691
1815,Y,3573981
1817,C,2860750
1818,A,7349341
1819,H,6033057
1819,J,5919194
1820,L,6598431
1820,W,6244125
1820,V,5542884
1822,J,2976941
1822,W,8814794
1822,P,9635316
1823,T,7306820
1825,G,3902184
1826,H,5365378
1829,R,7926936
1830,F,2041543
1830,Y,5092274
1831,G,8249751
1831,E,8602237
1832,D,1273896
1833,B,4596677
1835,I,6962347
1837,R,1925621
1838,Q,8494942
1839,F,9247642
1839,Y,5709560
1840,F,8577160
1840,E,2582374
1841,C,2668533
1842,U,3209754
1843,P,3064636
1844,J,5780917
1844,F,2196274
1844,E,8094266
1845,H,3782640
1845,I,5287768
1845,C,3760663
1845,W,5569913
1847,F,9177150
1847,D,4683270
1847,O,8932117
1852,D,5042802
1853,O,1711967
1853,T,5576067
1854,G,1332388
1854,Z,5818237
1855,J,1112435
1858,Q,8227647
1859,J,2709063
1900,V,3524912
1902,J,9501247
1904,N,6895237
1905,Y,3825738
1907,V,1489453
1908,T,5393317
1908,A,1624673
1909,P,9545505
1909,D,1744653
1909,D,3561351
1909,H,9707155
1911,R,1788129
1911,X,2084357
1912,C,5109496
1913,R,5137258
1913,B,3653591
1914,S,4944412
1915,Z,7721504
1916,I,9307398
1916,W,8963923
1917,K,7010148
1918,F,7105950
1918,N,7110970
1921,Y,8321642
1923,O,1297717
1925,S,9014905
1925,J,3662727
1926,X,7975385
1926,N,2522814
1927,U,1994177
1927,T,9399973
1928,R,1314607
1928,V,3956577
1929,D,2837767
1929,S,2260063
1930,N,4505762
1932,P,6749132
1933,V,1038916
1934,I,6253518
1934,X,3451242
1934,J,5766116
1935,H,1722248
1936,G,2285324
1936,M,1330489
1937,Z,7048916
1939,B,5890134
1939,H,4168178
1941,F,2172595
1941,X,9191212
1942,L,4081956
1942,Y,1878272
1944,S,3446653
1945,H,4895748
1945,Y,4682641
1949,E,4761369
1951,W,6229848
1951,E,4139371
1952,X,9188071
1953,X,5154955
1953,O,4962009
1954,N,2290567
1955,T,8656850
1956,T,7343446
1956,C,1015117
1956,P,6034721
1957,Z,4551376
1957,A,5826474
1957,K,5646514
1958,Q,3767807
2000,X,9056911
2000,L,3588837
2000,V,6283016
2001,V,9891131
2001,N,7532365
2001,P,4525267
2002,L,7939027
2004,R,2268124
2006,M,2779283
2008,J,1718445
2010,S,5605523
2019,F,1825454
2022,T,7414783
2025,L,8503758
2030,D,2454482
2032,E,5677016
2033,F,6564794
2035,S,2538530
2041,L,4713297
2043,Y,2635038
2043,Q,8078732
2051,E,6301357
2053,F,1144384
2056,E,1597440
2057,X,3970227
2059,Y,2858590
600,S,6397631
601,Q,2156718
603,W,6205497
605,T,3089688
606,D,3108963
608,A,3505610
610,R,7110522
612,N,4183454
613,J,6358005
619,W,5312237
620,K,7515170
621,U,4001751
621,O,4638790
623,E,3737222
623,J,1147478
624,O,3266953
625,J,7376234
627,O,1842057
627,A,3411570
628,Q,1451255
628,L,8210230
628,I,3750757
630,M,2141857
631,L,9423270
631,B,5076969
631,N,7637063
633,P,4533619
633,C,3817525
633,E,6950145
634,Q,4579820
636,V,3042315
637,I,4925358
637,A,9607753
638,X,7193626
639,E,9802453
640,R,2113094
640,L,5002940
640,P,6216299
642,T,3241879
642,G,3496750
643,G,2022826
643,Z,8839462
644,I,8311845
644,F,9683617
644,M,8334290
645,R,9698155
647,G,8386563
650,Y,4521980
652,V,2698903
652,P,3857715
653,O,6470831
653,Q,6411602
655,G,1887167
656,V,1854081
656,Y,8717642
658,J,9162318
658,L,4667466
659,G,9528655
659,Q,8581732
659,W,3694911
700,X,9075753
701,A,1433796
702,Q,8749203
703,I,7517537
704,M,8372682
706,B,6089663
706,H,8509569
706,F,8229726
707,T,4913057
707,K,3637408
707,I,4212893
708,V,5410938
708,Q,6596047
708,F,5561103
711,J,9248167
712,R,8593721
714,Q,9568228
714,R,2462063
714,G,3014711
715,F,3135772
716,V,1481873
717,X,8355511
718,X,9450319
720,G,1892043
720,P,9374861
722,F,6982450
723,O,9357864
723,S,1759469
727,I,8077162
729,C,3091381
729,X,2398258
730,K,9043165
731,G,4304860
732,W,1849357
733,J,5948301
733,X,9534507
734,R,9203742
734,E,9205648
735,U,8371765
735,J,6928087
737,P,9324304
738,Z,6684482
738,L,3252628
738,Q,9899396
738,N,9695535
741,F,4279233
741,U,7933135
743,J,2858832
745,J,7784968
746,C,2656055
746,C,2912174
747,P,1509085
747,X,5804264
747,D,9750496
748,S,2340975
748,B,6309633
749,U,4804098
750,C,5775069
750,K,5681682
751,Y,1101574
752,N,3363084
753,R,5838215
753,X,5929155
758,B,3931293
759,A,4935618
759,R,6253070
802,O,7180256
803,L,1582309
803,O,1082551
803,F,5647486
805,O,4393061
805,W,5449046
807,Y,7592314
807,C,7211255
809,J,6199866
809,D,3302762
810,T,1526279
810,H,6659102
811,L,5049815
812,F,4302871
812,N,9968636
813,S,6533698
813,O,5918194
815,B,3205488
817,N,9237799
817,X,8456886
818,P,5413489
818,V,9863228
819,Y,5976939
821,N,9525403
821,U,2835178
822,J,1214970
823,O,3939641
823,S,6251482
825,A,9498532
826,S,7489621
827,Y,4375712
828,L,7123698
828,O,2410839
828,D,6329719
829,D,9820279
830,Z,4640135
831,G,8575006
831,O,9945024
832,R,2309847
833,T,7109127
833,T,7230434
833,I,5928531
835,R,7199268
836,M,7891205
836,K,3079831
838,W,8774782
839,Y,5227052
842,V,1693375
843,W,3422765
843,R,2750862
844,O,7509214
845,U,9210660
845,Z,7385011
847,F,7552038
847,A,9754638
849,H,9966994
850,U,5457570
850,W,4768509
851,D,5902159
852,N,5499940
853,M,3016950
853,W,7620554
854,M,7731422
854,P,4011465
855,Z,8399190
857,Z,5544116
859,B,1383983
859,T,9974588
859,S,7936266
900,T,7509224
900,D,5057439
901,I,3193555
901,C,7822393
901,Z,2160506
901,D,9348587
902,G,6536087
903,D,4339737
904,S,3031036
905,M,8229402
906,G,5049378
906,Z,7247108
907,W,8254201
909,M,8049290
911,B,1952878
912,A,6093218
912,U,9998127
912,V,1999357
915,W,8843096
916,E,6893714
916,S,1981792
919,X,2302699
919,U,6126315
920,K,8243660
921,T,8180164
921,N,3265312
923,A,8929126
924,I,1029297
924,R,5946414
925,K,8324902
925,Z,5540033
925,N,8018969
925,F,2646924
926,L,8927877
927,F,8258030
927,J,5295995
928,I,7105396
928,A,5284039
929,C,2293318
930,H,3647021
930,R,5688130
930,Q,7734291
930,W,3595325
931,F,4837752
932,O,3256084
933,I,5462782
933,E,3878490
933,Y,3682238
934,R,8042408
935,W,8552136
935,R,6538424
935,G,2327709
936,N,3575199
937,A,1792048
939,J,3460137
941,S,1938427
942,U,1952780
943,U,9264832
945,C,3554968
946,T,7990193
948,S,6681774
948,R,7951404
948,U,7394318
949,V,6951059
950,Q,6985240
950,O,2712897
951,V,6530473
953,L,4233172
953,P,8340737
954,J,8717342
954,D,3033102
955,Z,5819775
956,J,1567818
956,Z,6688935
957,V,8534195
958,R,5643209
958,Q,5582398
959,J,8143940
